,region,price,time,service,hist_price
8,NSW1,17.280000001192093,2019/01/27 13:45:00,lower_reg,17.73
9,NSW1,10.0,2019/01/27 13:45:00,raise_5min,10.0
10,NSW1,10.26560684852302,2019/01/27 13:45:00,raise_60s,10.0
11,NSW1,10.0,2019/01/27 13:45:00,raise_6s,10.0
12,NSW1,14.255606848746538,2019/01/27 13:45:00,raise_reg,23.99
13,QLD1,0.44999999925494194,2019/01/27 13:45:00,lower_5min,0.45
14,QLD1,0.10999999940395355,2019/01/27 13:45:00,lower_60s,0.11
15,QLD1,0.03999999910593033,2019/01/27 13:45:00,lower_6s,0.04
16,QLD1,17.280000001192093,2019/01/27 13:45:00,lower_reg,17.73
17,QLD1,10.0,2019/01/27 13:45:00,raise_5min,10.0
18,QLD1,10.26560684852302,2019/01/27 13:45:00,raise_60s,10.0
19,QLD1,10.0,2019/01/27 13:45:00,raise_6s,10.0
20,QLD1,14.255606848746538,2019/01/27 13:45:00,raise_reg,23.99
21,SA1,0.44999999925494194,2019/01/27 13:45:00,lower_5min,0.45
22,SA1,0.10999999940395355,2019/01/27 13:45:00,lower_60s,0.11
23,SA1,0.03999999910593033,2019/01/27 13:45:00,lower_6s,0.04
24,SA1,17.280000001192093,2019/01/27 13:45:00,lower_reg,17.73
25,SA1,10.0,2019/01/27 13:45:00,raise_5min,10.0
26,SA1,10.26560684852302,2019/01/27 13:45:00,raise_60s,10.0
27,SA1,10.0,2019/01/27 13:45:00,raise_6s,10.0
28,SA1,14.255606848746538,2019/01/27 13:45:00,raise_reg,23.99
29,TAS1,0.06000000052154064,2019/01/27 13:45:00,lower_5min,0.06
30,TAS1,0.07000000029802322,2019/01/27 13:45:00,lower_60s,0.07
31,TAS1,0.030000001192092896,2019/01/27 13:45:00,lower_6s,0.03
32,TAS1,19.940000001341105,2019/01/27 13:45:00,lower_reg,5.95
33,TAS1,8.900000000372529,2019/01/27 13:45:00,raise_5min,8.9
34,TAS1,2.949999999254942,2019/01/27 13:45:00,raise_60s,2.95
35,TAS1,2.0,2019/01/27 13:45:00,raise_6s,2.0
