,region,price,time,SETTLEMENTDATE,REGIONID,RRP
0,NSW1,38.94576910883188,2020/01/02 02:05:00,2020/01/02 02:05:00,NSW1,40.70874
1,QLD1,40.330000000074506,2020/01/02 02:05:00,2020/01/02 02:05:00,QLD1,43.72991
2,SA1,43.58536371216178,2020/01/02 02:05:00,2020/01/02 02:05:00,SA1,43.689240000000005
3,TAS1,46.63310665264726,2020/01/02 02:05:00,2020/01/02 02:05:00,TAS1,70.46
4,VIC1,41.586449932307005,2020/01/02 02:05:00,2020/01/02 02:05:00,VIC1,42.641220000000004
0,NSW1,41.5291504971683,2020/01/02 02:10:00,2020/01/02 02:10:00,NSW1,44.41619
1,QLD1,43.25999999977648,2020/01/02 02:10:00,2020/01/02 02:10:00,QLD1,47.75
2,SA1,46.28288275748491,2020/01/02 02:10:00,2020/01/02 02:10:00,SA1,46.85686
3,TAS1,49.90327773243189,2020/01/02 02:10:00,2020/01/02 02:10:00,TAS1,70.46
4,VIC1,44.36787392385304,2020/01/02 02:10:00,2020/01/02 02:10:00,VIC1,46.12843
0,NSW1,38.45105234161019,2020/01/02 02:15:00,2020/01/02 02:15:00,NSW1,40.41522
1,QLD1,40.32999999821186,2020/01/02 02:15:00,2020/01/02 02:15:00,QLD1,43.73
2,SA1,42.51061673462391,2020/01/02 02:15:00,2020/01/02 02:15:00,SA1,42.82545
3,TAS1,45.694371834397316,2020/01/02 02:15:00,2020/01/02 02:15:00,TAS1,70.46
4,VIC1,40.7493054382503,2020/01/02 02:15:00,2020/01/02 02:15:00,VIC1,41.9773
0,NSW1,38.71055701188743,2020/01/02 02:20:00,2020/01/02 02:20:00,NSW1,44.42279
1,QLD1,40.330000000074506,2020/01/02 02:20:00,2020/01/02 02:20:00,QLD1,47.75
2,SA1,43.01488915272057,2020/01/02 02:20:00,2020/01/02 02:20:00,SA1,47.046040000000005
3,TAS1,46.03245016746223,2020/01/02 02:20:00,2020/01/02 02:20:00,TAS1,70.46
4,VIC1,41.05079677514732,2020/01/02 02:20:00,2020/01/02 02:20:00,VIC1,46.1098
0,NSW1,38.69891640357673,2020/01/02 02:25:00,2020/01/02 02:25:00,NSW1,40.69498
1,QLD1,40.330000000074506,2020/01/02 02:25:00,2020/01/02 02:25:00,QLD1,43.73
2,SA1,42.990232937037945,2020/01/02 02:25:00,2020/01/02 02:25:00,SA1,43.11032
3,TAS1,46.041958501562476,2020/01/02 02:25:00,2020/01/02 02:25:00,TAS1,70.46
4,VIC1,41.01752884313464,2020/01/02 02:25:00,2020/01/02 02:25:00,VIC1,42.26213
0,NSW1,38.94737359881401,2020/01/02 02:30:00,2020/01/02 02:30:00,NSW1,40.97766
1,QLD1,40.33000000193715,2020/01/02 02:30:00,2020/01/02 02:30:00,QLD1,43.73
2,SA1,43.08626701310277,2020/01/02 02:30:00,2020/01/02 02:30:00,SA1,43.20393
3,TAS1,46.312491457909346,2020/01/02 02:30:00,2020/01/02 02:30:00,TAS1,70.46
4,VIC1,41.30053186416626,2020/01/02 02:30:00,2020/01/02 02:30:00,VIC1,42.53529
0,NSW1,41.91214800439775,2020/01/02 02:35:00,2020/01/02 02:35:00,NSW1,44.42711
1,QLD1,43.539992187172174,2020/01/02 02:35:00,2020/01/02 02:35:00,QLD1,47.75
2,SA1,47.169578958302736,2020/01/02 02:35:00,2020/01/02 02:35:00,SA1,47.294059999999995
3,TAS1,50.81941636092961,2020/01/02 02:35:00,2020/01/02 02:35:00,TAS1,70.46
4,VIC1,44.6690584179014,2020/01/02 02:35:00,2020/01/02 02:35:00,VIC1,46.16767
0,NSW1,46.53999999910593,2020/01/02 02:40:00,2020/01/02 02:40:00,NSW1,44.73356
1,QLD1,47.858532786369324,2020/01/02 02:40:00,2020/01/02 02:40:00,QLD1,47.75
2,SA1,51.445131197571754,2020/01/02 02:40:00,2020/01/02 02:40:00,SA1,46.83791
3,TAS1,55.444063760340214,2020/01/02 02:40:00,2020/01/02 02:40:00,TAS1,70.46
4,VIC1,49.29406128078699,2020/01/02 02:40:00,2020/01/02 02:40:00,VIC1,46.11715
0,NSW1,46.57000000029802,2020/01/02 02:45:00,2020/01/02 02:45:00,NSW1,48.5
1,QLD1,48.52020869962871,2020/01/02 02:45:00,2020/01/02 02:45:00,QLD1,52.1305
2,SA1,51.12834668904543,2020/01/02 02:45:00,2020/01/02 02:45:00,SA1,50.70765
3,TAS1,54.956478694453835,2020/01/02 02:45:00,2020/01/02 02:45:00,TAS1,70.46
4,VIC1,49.00906274095178,2020/01/02 02:45:00,2020/01/02 02:45:00,VIC1,49.923120000000004
0,NSW1,46.53999999910593,2020/01/02 02:50:00,2020/01/02 02:50:00,NSW1,48.5
1,QLD1,48.17477563023567,2020/01/02 02:50:00,2020/01/02 02:50:00,QLD1,51.77606
2,SA1,51.11490647494793,2020/01/02 02:50:00,2020/01/02 02:50:00,SA1,50.68801
3,TAS1,54.61716367304325,2020/01/02 02:50:00,2020/01/02 02:50:00,TAS1,70.44
4,VIC1,49.0016393661499,2020/01/02 02:50:00,2020/01/02 02:50:00,VIC1,49.89837
0,NSW1,42.308171236887574,2020/01/02 02:55:00,2020/01/02 02:55:00,NSW1,41.00821
1,QLD1,43.25999999977648,2020/01/02 02:55:00,2020/01/02 02:55:00,QLD1,43.73004
2,SA1,46.2527912221849,2020/01/02 02:55:00,2020/01/02 02:55:00,SA1,42.674859999999995
3,TAS1,50.09489442035556,2020/01/02 02:55:00,2020/01/02 02:55:00,TAS1,76.41005
4,VIC1,44.538235979154706,2020/01/02 02:55:00,2020/01/02 02:55:00,VIC1,42.19795
0,NSW1,46.53999999910593,2020/01/02 03:00:00,2020/01/02 03:00:00,NSW1,48.5
1,QLD1,48.17451348900795,2020/01/02 03:00:00,2020/01/02 03:00:00,QLD1,51.776340000000005
2,SA1,50.95563545450568,2020/01/02 03:00:00,2020/01/02 03:00:00,SA1,50.60046
3,TAS1,55.032105922698975,2020/01/02 03:00:00,2020/01/02 03:00:00,TAS1,70.46
4,VIC1,49.07650555483997,2020/01/02 03:00:00,2020/01/02 03:00:00,VIC1,49.8218
0,NSW1,47.84999999962747,2020/01/02 03:05:00,2020/01/02 03:05:00,NSW1,48.5
1,QLD1,49.20615077577531,2020/01/02 03:05:00,2020/01/02 03:05:00,QLD1,51.42796
2,SA1,52.948831144720316,2020/01/02 03:05:00,2020/01/02 03:05:00,SA1,51.121320000000004
3,TAS1,56.91838604770601,2020/01/02 03:05:00,2020/01/02 03:05:00,TAS1,80.6
4,VIC1,50.75865155830979,2020/01/02 03:05:00,2020/01/02 03:05:00,VIC1,50.32598
0,NSW1,47.84999999962747,2020/01/02 03:10:00,2020/01/02 03:10:00,NSW1,48.519909999999996
1,QLD1,49.52902635000646,2020/01/02 03:10:00,2020/01/02 03:10:00,QLD1,51.79914
2,SA1,53.006004417315125,2020/01/02 03:10:00,2020/01/02 03:10:00,SA1,51.08644
3,TAS1,57.16327513940632,2020/01/02 03:10:00,2020/01/02 03:10:00,TAS1,70.46
4,VIC1,50.822573179379106,2020/01/02 03:10:00,2020/01/02 03:10:00,VIC1,50.28286
0,NSW1,46.57000000029802,2020/01/02 03:15:00,2020/01/02 03:15:00,NSW1,48.5
1,QLD1,51.26352967508137,2020/01/02 03:15:00,2020/01/02 03:15:00,QLD1,51.06025
2,SA1,-9.620683297514915,2020/01/02 03:15:00,2020/01/02 03:15:00,SA1,51.140029999999996
3,TAS1,-5.765044834464788,2020/01/02 03:15:00,2020/01/02 03:15:00,TAS1,70.46
4,VIC1,49.3774343021214,2020/01/02 03:15:00,2020/01/02 03:15:00,VIC1,50.35001
0,NSW1,47.84999999962747,2020/01/02 03:20:00,2020/01/02 03:20:00,NSW1,48.520109999999995
1,QLD1,48.90031389892101,2020/01/02 03:20:00,2020/01/02 03:20:00,QLD1,51.42605
2,SA1,108.04502958804369,2020/01/02 03:20:00,2020/01/02 03:20:00,SA1,51.5744
3,TAS1,110.70910062082112,2020/01/02 03:20:00,2020/01/02 03:20:00,TAS1,70.46
4,VIC1,104.49706554599106,2020/01/02 03:20:00,2020/01/02 03:20:00,VIC1,50.32227
0,NSW1,48.21000000089407,2020/01/02 03:25:00,2020/01/02 03:25:00,NSW1,49.01
1,QLD1,49.27096104621887,2020/01/02 03:25:00,2020/01/02 03:25:00,QLD1,51.942409999999995
2,SA1,54.984122171998024,2020/01/02 03:25:00,2020/01/02 03:25:00,SA1,52.72504
3,TAS1,58.37618880905211,2020/01/02 03:25:00,2020/01/02 03:25:00,TAS1,70.46
4,VIC1,52.0097070466727,2020/01/02 03:25:00,2020/01/02 03:25:00,VIC1,51.218
0,NSW1,48.21000000089407,2020/01/02 03:30:00,2020/01/02 03:30:00,NSW1,48.520109999999995
1,QLD1,49.91056801378727,2020/01/02 03:30:00,2020/01/02 03:30:00,QLD1,51.790209999999995
2,SA1,54.30223025381565,2020/01/02 03:30:00,2020/01/02 03:30:00,SA1,51.52111
3,TAS1,57.90779702179134,2020/01/02 03:30:00,2020/01/02 03:30:00,TAS1,70.46
